Timestamp,MemorySetInMB,BilledDurationInGBSeconds
2021-08-17 14:26:30.978,512,6.511
2021-08-17 14:26:30.948,512,6.5375
2021-08-17 14:26:30.755,512,6.4725
2021-08-17 14:26:30.728,512,6.465
2021-08-17 14:26:30.590,512,6.4105
2021-08-17 14:26:26.768,512,6.9475
2021-08-17 14:26:25.737,512,6.435
2021-08-17 14:26:25.607,512,6.3675
2021-08-17 14:26:25.475,512,6.304
2021-08-17 14:26:25.307,512,6.22
2021-08-17 14:16:12.064,512,6.8485
2021-08-17 14:16:11.661,512,6.7245
2021-08-17 14:16:11.532,512,6.7355
2021-08-17 14:16:11.505,512,6.711
2021-08-17 14:16:11.232,512,6.629
2021-08-17 14:16:11.014,512,6.541
2021-08-17 14:16:10.837,512,6.441
2021-08-17 14:16:10.798,512,6.412
2021-08-17 14:16:05.977,512,6.5645
2021-08-17 14:16:05.732,512,6.4425
2021-08-17 14:16:05.557,512,6.3555
2021-08-17 14:16:04.765,512,5.961
2021-08-17 14:05:52.059,512,6.7645
2021-08-17 14:05:51.663,512,6.6435
2021-08-17 14:05:51.423,512,6.4765
2021-08-17 14:05:51.394,512,6.4545
2021-08-17 14:05:51.300,512,6.4185
2021-08-17 14:05:51.282,512,6.4595
2021-08-17 14:05:46.724,512,6.6995
2021-08-17 14:05:45.877,512,6.275
2021-08-17 13:55:32.533,512,6.8905
2021-08-17 13:55:32.197,512,6.7125
2021-08-17 13:55:31.976,512,6.691
2021-08-17 13:55:31.596,512,6.4775
